name,new_price,old_price,stars,observations,Savings,discount
"type A Deep Clear Grey Frame 5-Drawer Storage Tower/Cart with Wheels, 39-in",34.99,49.99,4.0,158,15.0,0.3
"Vida by PADERNO Air Fryer Toaster Oven, 6-Slice",154.99,259.99,4.0,44,105.0,0.4
"Bluehive 8,000 mAh Power Bank with Battery Charge Indicator",12.0,49.99,4.2,214,37.99,0.76
"For Living 6-ft Portable Indoor/Outdoor Plastic & Metal Centre Folding Bench, White",49.99,69.99,4.8,43,19.999999999999993,0.29
"For Living Reversible 5-Blade 3-Speed Ceiling Fan with Lighting, 42-in, Black/Walnut",79.99,99.99,3.5,117,20.0,0.2
"CANVAS Copenhagen 2-Tier 3-Drawer Bookcase For Storage & Display, White",199.99,279.99,3.8,68,80.0,0.29
"type A Clear Black Frame 8-Drawer Storage Tower/Cart with Wheels, 46-in",39.99,59.99,3.8,183,20.0,0.33
"T-fal Easy-Fry Air Fryer, 3.5-L",79.99,179.99,4.2,98,100.00000000000001,0.56
"Lagostina Tuscan Collection Round Casserole Dish, Enamelled Cast Iron, Orange, 4qt",69.99,299.99,4.6,182,230.0,0.77
"CANVAS Canmore Media Console Electric Fireplace TV Stand, 54-in, 1400W, Includes Remote Control, Brown",339.99,569.99,4.3,95,230.0,0.4
"Heritage The Rock Jumbo Cooker, Non-Stick, PFOA-Free, Oven & Dishwasher Safe, 30cm",39.99,169.99,4.6,1268,130.0,0.76
"T-fal Air Grip Aluminum Frying Pan Non-stick, Dishwasher & Oven Safe, Blue",19.99,79.99,4.6,475,60.0,0.75
"Lagostina Ticino Stainless Steel Cookware Set & Oven Safe, 10-pc",149.99,599.99,4.3,125,450.0,0.75
Tineco Carpet One Smart Corded Upright Deep Carpet Vacuum Cleaner,299.99,599.99,4.4,86,300.0,0.5
Blink Outdoor HD 2-Camera System,167.99,239.99,4.6,21,72.0,0.3
"Komodo Freestanding Electric Fireplace Stove, 17.5-in, 1400W, Realistic Flame Effect, Black",124.99,249.99,3.8,120,125.00000000000001,0.5
"For Living Portable High-Back Upholstered & Padded Metal Folding Chair, Beige",29.99,37.99,4.5,170,8.000000000000004,0.21
"BISSELL Pet Pro Pet Hair Eraser Lithium Ion Max Cordless Handheld Vacuum Cleaner, 16V",99.99,149.99,4.6,973,50.000000000000014,0.33
Harmony High Back Booster Car Seat with Latch,69.99,119.99,4.5,103,50.0,0.42
"Vida by PADERNO Fridge with Handle, Gold/White, 4.4-cu-ft",299.99,399.99,2.3,4,100.0,0.25
"Instant Pot® Duo Crisp 11-in-1 Pressure Cooker w/ Air Fryer, Stainless Steel, 8qt",249.99,289.99,4.6,112,40.0,0.14
